Usuario,Comentarios
Fixion01,359
GalletonJunaeb,340
Lo_Innombrable,329
estaweamesupera,262
ozzraven,259
Gustaven-hungan,238
Lopr1621,234
inviernoruso,223
nekoql,220
ReadySteadyGoA,198
Harkoncito,192
CuantaSerendipia,191
riiott2,189
RaccoonD,173
Paltamachine,160
Larva_Astral,151
sin_ese,146
xzinik,145
zenkeep,142
Kiwiofhell,132
notquiteteemo,129
Shot-Statement-6772,127
Bl4nkface,124
macana144,120
mayocaserarica,118
blindmodz,112
A_chinche_cinetico,110
polloillo,107
SaintTomasPepe,105
Zonru,100
matydragon_20,97
Agente-Libre,95
FeanDoe,91
Grim0508,90
xascoberto,89
proletarianpanzer,87
AnyResponsibility2,86
Hanneman_213,79
zurizuricata,77
Encrypted-Doggo,76
maddowizardoo,73
Shingocrates,72
bolmer,69
Rooftop_marraqueta,68
ctuna89,67
nevados_de_chillan,67
fetuccini_slayer,66
BeeMovieApologist,65
leviatanCL,64
loica_enojada,61
MariaJoseBlanchester,59
Not_Kangrejo,58
DonPichulas34,57
Dismal_Comparison122,56
luchoventas,55
Sopaipisaurio,53
OozingPositron,52
Tierrrez,51
Choice__Technician,50
dkease,50
Sheppardino,50
FinchoDS,49
KidTFT,48
atunmayo,47
naxomaster,47
HombreContrafactual,46
Kleint_Aristotelicus,46
IUpperDeckedMyself,45
Educational-Maximum3,45
Dev0Null0,45
Gatosoo,45
viruta2021,44
vvvpqsw,44
97_mechanix,43
NiaMPL,42
Chiefrockacl,42
Lucky_random_ness,42
keinRennrad,40
Patoqta,40
sfl_,39
All-Your-Base,39
Milcaos,39
aChileanDude,39
peaceful_oasis,39
JPVita,38
slaucsap,37
coringas,37
MrTonino,37
MinaDawngate,35
Laki-tu,35
dgo792,35
Charlotte_Vincent,35
aprenderanadar,35
Antares_de_la_Luz,33
RandyCoxburn,33
Tigre_Obeso,32
DalasParker,32
WhiteMeovv,31
NiaKollon,31
Nachho,30
Putotunel,30
Cl_z0mb1e,30
Blubari,30
Miguelonchox,30
cubesato,29
javier_aeoa,29
brown-guitar,28
Mrquest_10293847,28
corderituwu,27
ph1406,27
chosen_carrot,27
60nz,27
FLB1,27
euhna,27
sexooooooooooo__,27
bob_patino,27
Potential_Peanut3907,26
una__paloma,26
_supernova-,25
that_lonely_bi,25
malafar,25
Pesebreqlo,24
comadre_lola,24
ZIIcvy,24
6d656c6c6f,24
ULTZwWfD,24
ElweonIsekai,23
Zetsubou__666,23
AxelLAG,22
Alfajorero,22
Otaninn,22
tacnobac,22
ElFlaco2,22
RoIgn92,21
Lordpeos,21
NotCompleto,21
nomecreai,20
pitter_patterclock,20
Acrobatic-Artist9730,20
DiegoIRR,20
pera1613,20
StrikeKey101,20
Anti_Progres,20
XellosWizz,20
raakkvkov,20
PeriRana,19
fukami-rose,19
ShatteredGold,19
NinjalaS1Player,18
blackbunny09,18
FullSatisfaction6359,18
gabrielburric,18
fenixbalol,17
AtunEnLomitos,17
GinTonicWithCucumber,17
comoaprender,17
Gabriel_AEROSPACE,17
Cucho-Lambretta,17
sedapemu,16
79BEEVL,16
jipjapjup,16
tazonconcafe,16
unatarde,16
Opazo-cl,16
BufferUnderpants,16
kurob4,16
PabloHonorato,16
StrangeSemiticLatin2,16
quierouncigarro,16
nashoramosxd,16
MellaDios,16
Suffocated-Soul-,16
shap2,16
chiledoesntexist,15
pierdesporfumar,15
Ovejilla,15
shakaritahermandad,15
pipexclon,15
Soulless911,15
aleliu,15
Ciscner,14
Talgoporta,14
bizarref00l,14
HirumaBSK,14
Felaipes,13
gatoshico,13
alvarorc1,13
truth_sentinell,13
ichox,13
kardashev,13
Fun-Moose-4676,13
_SoYos,13
Chilean_Chargaff,12
CepilloDental,12
InfinityRoundCycle,12
MutedMime05,12
cafe_filtrado,12
ProximoPresidente,12
paulipeach,12
Luck_Is_My_Talent,12
SrHuev0n,12
Elchalecodelana,11
CLobo,11
yaiay,11
Adventurous-Cup5095,11
BagajeCultural,11
iloveseries_,11
AutonomieSV,11
nofuture23234,11
leche-dsps-cereal,11
chkdsk_7,11
rChileRandomBot,10
Glittering_Pumpkin24,10
PaltaDoctor,10
NoMeEncuentro,10
TremendoAfro,10
nadaparacomer,10
ConsciousPain9,10
Yennefer1991,10
Gonpachiro-,10
Low_Second7050,10
DontKnowHowToEnglish,10
Towrp,10
CMuenzen,10
masfruta,10
camilosk8er,10
Euclid_Class_Object,10
moreAidsplease42,9
Giuseppe_Stallini,9
chalecomono,9
Joze525,9
Mari_Chiweu,9
ivanmsc,9
Apprehensive-Shop471,9
HolyMollywacamole,9
chanchoextremo,9
0x00cl,9
JaqenStark,9
L_I_L_B_O_A_T_4_2_0,9
BorderLove89,9
andyvc97,9
luxrayo,9
Johnny1392,8
serastronomical,8
NegociacionColectiva,8
agitazione,8
murloc_reporonga,8
BeWolk,8
bopboph,8
felagaund,8
cafeengrano,8
Stanowu,8
Rakzien,8
deandotcom,8
main_lux,8
Opposite-Shoulder260,8
Drawer-Smooth,8
Andi_Jones,7
Mr-Black_,7
EducationalBoat5785,7
ElSobe,7
Zafiquel,7
tecito_earl_gray,7
Kondor0,7
mimomentohallegado,7
Green-Cucumber-2232,7
pamparapampam,7
fragmentss_kek,7
kontemplador,7
gaboemi,7
NoisiN,7
JuanjiSempai,7
mclannee,7
Nairiy,7
n0cturnal4nimal,7
StateAdditional,7
allkingsaredead,7
aram855,7
Tecnocazuela,6
varnor1,6
renewedanarchist,6
MB_CC_Manx,6
Neither-Raise,6
Lain_u,6
tatemblando,6
Frohslol,6
rochops,6
cyansun,6
LordVelaryon,6
kraysak,6
Eiol01,6
bolas-tristes,6
peronohaypolillas,6
Snicky_cos,6
PickadillosJones,6
mr_homerone,6
TryHarderino,6
One-Box8025,6
ToTheNintieth,6
ipurge123,6
nejok,6
kassi0peia,6
Shoganaite_92,6
NoNamePK,6
Realistic-Maize-7402,6
Good_Somewhere2283,6
mahinostroza,5
sebakjal,5
ctccl,5
RockyHeart,5
d8354af7,5
HansWolken,5
StatisticianLivid555,5
Huemus,5
jovencefalea,5
agnostic_ent,5
Zimtquai,5
Cmcont,5
International-Tree19,5
3v1lrob07,5
skzoholic,5
charlybadulaque,5
DragonPapaFrita,5
edvo23,5
ikrish,5
Tarbolinx,5
laquecuelga,5
uyqhwjyehd7665lll656,5
punker25,5
BrocoLee,5
copitamenstrual,5
kingdraven,5
Josema94,5
noff01,5
Neko_Shogun,4
NNorAl,4
TMCamilo,4
byokx,4
mequierocortarlatula,4
Latter_Particular_97,4
Beautiful_Fudge_5175,4
andresmlna,4
NiCorvus,4
rhapsowacho,4
Gordohediondo,4
Manomana-cl,4
sebaniko93,4
Nice-Distribution526,4
kamikazewam,4
nabets3,4
Beetle_05,4
Stewe07,4
StandNenUser,4
AlexandraProudhon,4
weltschmerz____,4
Fidozip,4
ElSydBarrett,4
skancerous,4
Accomplished-Job-604,4
undergroundbynature,4
kabukiza00,4
Txstage,4
beswervie,4
extremx23,4
coolnicknamehere,4
Karmagro0902,4
nimunozo,4
Alert-Equivalent1392,4
gatomimir,4
atenux,4
wow_yuri,4
GeorgieBoyAdvance,4
International_Ad7264,4
Diemeteus,4
AnibalSerra,4
Ludioj,4
Macnoon,4
Vrenks,4
RMardonesQ,3
cimocw,3
DjCanalex,3
Parafina97,3
Cascbondree,3
anibia,3
UniqueCommission8571,3
FinalFooWalk,3
gidive,3
orosoli,3
NeverOriginal123,3
Sirenitururu,3
Guaripote,3
Geddoe_,3
Freladdy11,3
fkngdprss,3
Fenris_Ulv,3
chacity,3
i-love-cripi,3
quenchy-cactus-juice,3
DryTrippa,3
prffg57,3
fsimperial,3
andrew4d3,3
Temeos23,3
sl07h1,3
OpportunityEast7774,3
DanOblong,3
Ligtu,3
Tanqueavapor,3
ShinobuYamato,3
ulrish,3
Skulltcarretilla,3
ph21,3
crookedgoldensun,3
RRRPablo,3
Insania2014,3
That_Youth2223,3
Gaucho_Programador,3
Juanin_elPinfloi,3
Kaminoan,3
Razorlines,3
Zerochl,3
riczan,3
GioroGiori,3
matuu_,3
cookie_addicted,3
Dogo-cat,3
SonMauri,3
Fumobix,3
Western_Crow,3
seuramon,3
speed12racer,3
BrilliantFoot,3
Andruwsnoww,3
ed-cl,3
TioNuezNi,3
zimmerxp,3
CloudyTime,3
Undonemito,3
QultrosSanhattan,3
Noqueriatenercuenta,3
Matiespinosap,3
Tellepark-,2
Equivalent_Scholar32,2
leblonisbestdog,2
Deneb0la,2
EthanBradberry70,2
LaoPita,2
JackMercerR,2
liceo-municipal,2
Flimsy-Policy7575,2
Bannedfromplebbit,2
Good_Human_Bot_v2,2
kameluca,2
HarinaCollico,2
El_Dandy758,2
Puzzleheaded_Tutor_1,2
Odegros,2
dagsrevyen,2
MacblinkSkylight,2
WhoIsTomodachi,2
RaulFigueroa_bot,2
itourith,2
koshalluyo,2
CreazySapete,2
INGERBOR,2
Iwannastoprn,2
blind-as-fuck,2
DonMakafi,2
ziggy_the_starman,2
Comfortable-Skill948,2
zandorb,2
FitPrune5579,2
IceLovey,2
Aleshiro,2
ferando855,2
lolochicle3,2
Franreyesalcain,2
concernedmom16,2
Atl_grunge,2
allhailpalta,2
kaialtogether,2
Sopapiglobo_ng,2
N4x00,2
Fighterdoken33,2
tutoxmisql,2
Similar35P,2
drakesepi0l,2
SnooCauliflowers7746,2
buruskun,2
deportadoensiberia,2
Crazy-Ad8567,2
lamaisondieu,2
JVicu,2
Dual-ll,2
felipe82,2
SeptemFan,2
DDMendoza95,2
UnseenObserver,2
lefboop,2
Mod4rchive,2
darthdeckard,2
Jorge1246,2
_reptilian_,2
papuanuevaguinea,2
zafrada,2
Nemesis2299,2
Mononen12,2
GodlikeCat,2
RPND,2
Hutzor,2
onemore_thanother,2
StinkinKevin,2
Glassavwhatta,2
Contreras1991,2
realidadg,2
Ocioso327,2
kcxlife,2
canthinkone,2
jamr1015,2
Logical_Equal_6808,2
Aviskr,2
puramentira,2
cogollento,2
LoncoGomez,2
KigalnGin,2
Maite25,2
SDogo,1
A_espa,1
Reyske,1
Goatlessly,1
Aromatic_Abroad_5887,1
sneakpeekbot,1
Cayaxd,1
Agile_Newt_3648,1
melisa-tontogil,1
chemelg94,1
SpringRice,1
Legitimate-Royal-269,1
11_16,1
dexter234669,1
Crafty_Reason1795,1
Tiny-Cartographer-36,1
ReverseCaptioningBot,1
krepts33,1
yelo2,1
ruberon,1
diegoartx,1
Fantastic_Salary_349,1
HelpingTheOffended,1
Mainfric,1
demakrante,1
NostrandZero,1
GolDeOrooooCtmm,1
SeaworthinessHot1789,1
RabidGuillotine,1
Wonderful-Bird-8950,1
RemindMeBot,1
b45714n,1
creativityNAME,1
gamobot,1
iKloxx,1
WikiSummarizerBot,1
ppileta,1
barbathoz,1
tri__dimensional,1
IrinaKulopies,1
unchienandalou_,1
yifas,1
use_less_human,1
DiePanzerCommie,1
El_gato_piniwai,1
Permanent__Waves,1
edo_asc,1
javier23,1
GoingToGradSchool9,1
finofaurio,1
altdelsur,1
Shwerr,1
throwaway2100012,1
MataUwUs,1
Trip_Away,1
lowestElo,1
JuzoMegure,1
git-vomit,1
dorinacho,1
East-Satisfaction423,1
oakjf,1
BatmanAdidas,1
Haskmell,1
Jealous-Hotel-4076,1
SanFederico,1
FrivolousCandle,1
Consistent_Whereas27,1
ControlAlarmed,1
kaybedumbaf,1
Electrical-Hyena2313,1
Fun_Conversation5325,1
slayadude,1
flores_amarillas,1
mani_con_merken,1
Arcaicoo,1
spirotetramat2,1
T1student,1
Lihnista,1
soelita,1
Carlangas3,1
userN191892,1
wndelpdf,1
elvenjamon,1
maticl,1
Lonely-Object-8620,1
girlsandflowers,1
jungkooksalt,1
marraquetaconpebre,1
sfitdhomlatcg,1
MarraquetaStyle,1
hhmge,1
Kid_Carlomagno_,1
LeylandTiger,1
Saiko_uwu,1
Giorno-kun,1
leamd,1
Xamthos,1
Xaerin,1
Bakeneko04,1
X-Grunger,1
Cikkicic19,1
Zero_to_the_left,1
random1-8,1
NombreOcupado,1
hazweio,1
HUEVITODIOS1,1
TheSunflowerSeeds,1
Vim_owlcat,1
Wallmapuball,1
PPPPPPPPPPKP,1
Crisss30,1
ParkingAd3289,1
motesinhuesillo,1
verlorengeist,1
Many-Form-4511,1
pepiemi,1
Lemon_pie_u,1
thenword1,1
Sea_Fishing1628,1
n1cj,1
nut_your_butt,1
dkj-,1
ale995xis,1
musicatito,1
Creis_Telwood,1
Kimosaurus,1
PenisDetectorBot,1
WebitoCrudoo,1
Veroec,1
julian_flores,1
frenchfries_lover,1
Saiwon03,1
valsdeperlas,1
ZeRoYeoN,1
Gavrilst,1
AdminScales1155,1
Lirus_mania,1
Ktion,1
Metra-k,1
friedeggforbreakfast,1
wof759,1
LazyEyes99,1
Spirited_Profile8571,1
_donnadie_,1
lapochek,1
Original-Original-60,1
il_Nenek,1
ThirdPartyAPI,1
matislash,1
Thedarkpersona,1
Nife15,1
machaguay,1
Peroroncino-sama,1
DifficultAd9246,1
MaruchanCarneDeRes,1
Tuna_Melt_Sandwich,1
Sopripoi,1
h4v0c12,1
_Delain_,1
aecioghost,1
Maruruu,1
SkinnyWeatherShoes,1
heroeNK25,1
xKail,1
ah-squalo,1
ky2k,1
ratachannel123,1
Reibaxs,1
IrinaKaramanos,1
Kapo_de_Kiwiiii,1
boogurlboo,1
cammilo96,1
HushedTurtle,1
mattvalenzuela,1
hoseinnasr,1
camilincamilero,1
EconomyTitle5045,1
islrs,1
TuIaBocaAncha,1
Cabeza-de-bolo,1
TsubasaIre,1
DullAndWitlessBoy,1
botlesbico,1
spidercrabs,1
KillerMitoc,1
UselessConversionBot,1
Ksl0n,1
Pazza8,1
Insomniooo,1
Caldex7,1
ganinipa,1
Paaran_Disen,1
PuduBot,1
gatip0sa,1
